subj_id,age,gender,ethnicity,born_ch,born_ch_text,language,urban_rural,education,afford,class,rich_poor,spirit_relig,religion,ethnicity_cat,language_cat,urban_rural_cat,education_cat,class_cat,class_cat2,spirit_relig_num,religion_cat
ch_adults_017_god,32,Male,Han,Yes,NA,jiangsu,rural,senior high school,yes,not bad/above the average level,much poorer,neither agree nor disagree,no,Han,jiangsu,rural,high school,upper middle,upper,0,none
ch_adults_018_mice,30,Female,Han,Yes,NA,chongqing,rural,junior high school,yes,the general level,a little poorer,neither agree nor disagree,no,Han,chongqing,rural,less than high school,middle,middle,0,none
ch_adults_019_rocks,37,Female,Han,Yes,NA,henan,rural,primary school,no,affluent,about the same,agree,christianity,Han,henan,rural,less than high school,upper,upper,1,christian
ch_adults_020_crickets,33,Female,Han,Other,"Wanzhou, Chongqing",chongqing,urban,college degree,yes,middle level,about the same,agree,no,Han,chongqing,urban,bachelors,middle,middle,1,none
ch_adults_021_chickens,59,Female,Han,Other,"Hongkon, Shanghai",shanghainese,urban,senior high school,no,the subsistence level,about the same,neither agree nor disagree,no,Han,shanghainese,urban,high school,lower/working class,lower,0,none
ch_adults_022_children,54,Female,Han,Other,"Baoshan district, Shanghai",shanghai,urban,senior high school,yes,middle,about the same,neither agree nor disagree,no,Han,shanghainese,urban,high school,middle,middle,0,none
ch_adults_023_dogs,45,Male,Han,Other,Namyong Henan,henan,rural,junior college,yes,a moderate level,a little poorer,neither agree nor disagree,no,Han,henan,rural,other college degree,middle,middle,0,none
ch_adults_024_flowers,67,Female,Han,Other,"Shaoxing, Zhejiang",shaoxing,rural,none,yes,ordinary,about the same,strongly agree,buddhism,Han,shaoxing,rural,less than high school,middle,middle,2,buddhist
ch_adults_025_ghosts,58,Male,Han,Other,Pndong District in Shanghai,pndong,rural,junior high school,yes,ordinary,a little poorer,strongly disagree,none,Han,pndong,rural,less than high school,middle,middle,-2,none
ch_adults_026_god,59,Male,Han,Other,a mountain village,dialect,rural,master's degree,yes,good,a little richer,agree,none,Han,local dialect,rural,masters,upper,upper,1,none
ch_adults_027_mice,78,Male,Han,Yes,NA,dialect,rural,undergraduate,yes,rich,a little richer,strongly agree,no,Han,local dialect,rural,some college,upper,upper,2,none
ch_adults_028_rocks,78,Female,Han,Other,"Wuhan, Hubei",wuhan,urban,junior college,yes,middle,about the same,agree,"not believe in buddha but do thurification (burning incense) , growth in morality",Han,wuhanese,urban,other college degree,middle,middle,1,buddhist
ch_adults_029_crickets,69,Male,Han,Yes,NA,mandarin & shanghai,urban,junior high,yes,normal,about the same,neither agree nor disagree,no,Han,shanghainese,urban,less than high school,middle,middle,0,none
ch_adults_030_cellphones,45,Male,Han,Other,"Jishan District, Shanghai",local,rural,technical secondary school,yes,general,about the same,disagree,none,Han,local dialect,rural,trade/certificate,middle,middle,-1,none
ch_adults_031_children,71,Female,Han,Other,"Pudong District, Shanghai",shanghainese local language,rural,elementary school,yes,not trans,about the same,neither agree nor disagree,buddhism,Han,shanghainese,rural,less than high school,NA,NA,0,buddhist
ch_adults_032_dogs,73,Female,Han,Yes,NA,shanghainese local language,rural,junior high school,yes,people can be fed well,about the same,disagree,buddhism,Han,shanghainese,rural,less than high school,upper,upper,-1,buddhist
ch_adults_033_flowers,54,Male,Han,Other,"Gulu, Shanghai",shanghainese local language,rural,bachelor,yes,medium,about the same,disagree,no,Han,shanghainese,rural,bachelors,middle,middle,-1,none
ch_adults_034_ghosts,29,Female,Han,Other,"Gulu, Shanghai",shanghainese local language,urban,masters,somewhat,below medium,about the same,disagree,none,Han,shanghainese,urban,masters,lower middle,lower,-1,none
